TransactionID,TransactionDate,Time,TransactionAmount (INR),Mobile,IsFraud
T207,07-08-2022,3150,137890,9088909251,0
T208,07-08-2022,5963,500,9088909252,0
T209,07-08-2022,4393,127.8,9088909253,0
T210,07-08-2022,1568,200,9088909254,0
T211,07-08-2022,1732,5887,9088909255,0
T212,07-08-2022,5030,88,9088909256,0
T213,07-08-2022,700,323.72,9088909257,1
T214,07-08-2022,5203,1378,9088909258,0
T215,07-08-2022,656,1131,9088909259,1
T216,12-08-2022,3291,500,9088909260,0
T217,12-08-2022,1442,15,9088909261,0
T218,12-08-2022,2016,100,9088909262,0
T219,21-10-2022,5587,200,9088909263,0
T220,21-10-2022,5212,518,9088909264,0
T221,21-10-2022,851,203.12,9088909265,1
T222,21-10-2022,1158,1294,9088909266,0
T223,21-10-2022,4095,4000,9088909267,0
T224,21-10-2022,502,1119,9088909268,1
T225,21-10-2022,946,40,9088909269,1
T226,21-10-2022,4387,510,9088909270,0
T227,21-10-2022,4057,1550,9088909271,0
T228,21-10-2022,778,149,9088909272,1
T229,21-10-2022,5946,40,9088909273,0
T230,21-10-2022,1300,500,9088909274,0
T231,21-10-2022,6371,220,9088909275,0
T232,21-10-2022,3268,30,9088909276,0
T233,21-10-2022,1818,200,9088909277,0
T234,21-10-2022,4934,4200,9088909278,0
T235,21-10-2022,359,200,9088909279,1
T236,21-10-2022,6652,3142,9088909280,0
T237,21-10-2022,4279,1219.04,9088909281,0
T238,21-10-2022,2375,199,9088909282,0
T239,21-10-2022,5388,708.05,9088909283,0
T240,21-10-2022,2924,100,9088909284,0
T241,21-10-2022,212,2000,9088909285,1
T242,21-10-2022,4871,800,9088909286,0
T243,21-10-2022,6946,1000,9088909287,0
T244,21-10-2022,5073,460,9088909288,0
T245,21-10-2022,1592,4478,9088909289,0
T246,21-10-2022,2134,47290,9088909290,0
T247,21-10-2022,5060,25000,9088909291,0
T248,21-10-2022,6163,53000,9088909292,0
T249,21-10-2022,1535,35,9088909293,0
T250,21-10-2022,2666,100,9088909294,0
T251,21-10-2022,2838,100,9088909295,0
T252,21-10-2022,5185,1595,9088909296,0
T253,21-10-2022,5516,283,9088909297,0
T254,21-10-2022,4881,68,9088909298,0
T255,21-10-2022,1354,3034.5,9088909299,0
T256,21-10-2022,5308,110,9088909300,0
T257,21-10-2022,4981,10,9088909301,0
T258,21-10-2022,1658,2870,9088909302,0
T259,21-10-2022,5187,259,9088909303,0
T260,21-10-2022,3124,1128.37,9088909304,0
T261,21-10-2022,204,2200,9088909305,1
T262,21-10-2022,316,330,9088909306,1
T263,21-10-2022,1587,201,9088909307,0
T264,21-10-2022,338,30990,9088909308,1
T265,21-10-2022,1837,899,9088909309,0
T266,21-10-2022,243,110,9088909310,1
T267,21-10-2022,987,500,9088909311,1
T268,21-10-2022,3007,4740,9088909312,0
T269,21-10-2022,192,200,9088909313,1
T270,21-10-2022,1111,1735,9088909314,0
T271,21-10-2022,1561,327,9088909315,0
T272,21-10-2022,2331,6652.72,9088909316,0
T273,21-10-2022,5083,412.65,9088909317,0
T274,21-10-2022,2691,42,9088909318,0
T275,21-10-2022,2413,128,9088909319,0
T276,21-10-2022,5896,722,9088909320,0
T277,21-10-2022,4882,1488,9088909321,0
T278,21-10-2022,1590,50,9088909322,0
T279,21-10-2022,205,200,9088909323,1
T280,21-10-2022,3512,1300,9088909324,0
T281,21-10-2022,1418,610,9088909325,0
T282,21-10-2022,5483,655,9088909326,0
T283,21-10-2022,5390,1203,9088909327,0
T284,21-10-2022,2662,600,9088909328,0
T285,21-10-2022,30,18,9088909329,1
T286,21-10-2022,3814,1720,9088909330,0
T287,21-10-2022,1442,1150,9088909331,0
T288,21-10-2022,6236,2647,9088909332,0
T289,21-10-2022,479,567,9088909333,1
T290,21-10-2022,4444,1000,9088909334,0
T291,21-10-2022,6796,11364,9088909335,0
T292,21-10-2022,3895,350,9088909336,0
T293,21-10-2022,6669,1890,9088909337,0
T294,21-10-2022,6788,50,9088909338,0
T295,21-10-2022,6900,1000,9088909339,0
T296,21-10-2022,3998,634.12,9088909340,0
T297,21-10-2022,4716,1423,9088909341,0
T298,21-10-2022,3133,1870,9088909342,0
T299,21-10-2022,5587,50,9088909343,0
T300,21-10-2022,1772,2968,9088909344,0
T301,21-10-2022,6168,620,9088909345,0
T302,21-10-2022,1666,699,9088909346,0
T303,21-10-2022,1715,2400,9088909347,0
T304,21-10-2022,6586,357,9088909348,0
T305,21-10-2022,4380,21060,9088909349,0
T306,21-10-2022,82,45,9088909350,1
T307,21-10-2022,768,550,9088909351,1
T308,21-10-2022,6536,969,9088909352,0
T309,21-10-2022,3383,30,9088909353,0
T310,21-10-2022,4075,50,9088909354,0
T311,21-10-2022,6318,94,9088909355,0
T312,21-10-2022,949,400,9088909356,1
T313,21-10-2022,525,221.75,9088909357,1
T314,21-10-2022,3700,36500,9088909358,0
T315,21-10-2022,6324,25,9088909359,0
T316,21-10-2022,1075,865,9088909360,0
T317,21-10-2022,6455,695,9088909361,0
T318,21-10-2022,2563,50,9088909362,0
T319,21-10-2022,90,600,9088909363,1
T320,21-10-2022,6093,550,9088909364,0
T321,21-10-2022,2508,2299,9088909365,0
T322,21-10-2022,4065,222,9088909366,0
T323,21-10-2022,2147,2249,9088909367,0
T324,21-10-2022,116,999,9088909368,1
T325,21-10-2022,605,1512.75,9088909369,1
T326,21-10-2022,722,500,9088909370,1
T327,21-10-2022,2197,145,9088909371,0
T328,21-10-2022,5057,343,9088909372,0
T329,21-10-2022,240,6129,9088909373,1
T330,21-10-2022,6444,50,9088909374,0
T331,21-10-2022,2771,100,9088909375,0
T332,21-10-2022,5055,465,9088909376,0
T333,21-10-2022,5711,200,9088909377,0
T334,21-10-2022,4156,2821,9088909378,0
T335,21-10-2022,1237,50,9088909379,0
T336,21-10-2022,2336,800,9088909380,0
T337,21-10-2022,4200,1378,9088909381,0
T338,21-10-2022,3333,6458,9088909382,0
T339,21-10-2022,3579,211,9088909383,0
T340,21-10-2022,5913,232,9088909384,0
T341,21-10-2022,3741,216,9088909385,0
T342,21-10-2022,1396,200,9088909386,0
T343,21-10-2022,692,75,9088909387,1
T344,21-10-2022,6231,300,9088909388,0
T345,21-10-2022,255,50,9088909389,1
T346,21-10-2022,2694,21,9088909390,0
T347,21-10-2022,4846,28,9088909391,0
T348,21-10-2022,4373,5000,9088909392,0
T349,21-10-2022,2474,250,9088909393,0
T350,21-10-2022,2694,1200,9088909394,0
T351,21-10-2022,2826,100,9088909395,0
T352,21-10-2022,4754,2600,9088909396,0
T353,21-10-2022,4662,750,9088909397,0
T354,21-10-2022,5688,498,9088909398,0
T355,21-10-2022,4263,337,9088909399,0
T356,21-10-2022,4311,2000,9088909400,0
T357,21-10-2022,5228,285,9088909401,0
T358,21-10-2022,1353,96,9088909402,0
T359,21-10-2022,5487,275,9088909403,0
T360,21-10-2022,1448,652,9088909404,0
T361,21-10-2022,1335,1168,9088909405,0
T362,21-10-2022,4125,1483.16,9088909406,0
T363,21-10-2022,1991,644.3,9088909407,0
T364,21-10-2022,5829,2605,9088909408,0
T365,21-10-2022,5502,1984,9088909409,0
T366,21-10-2022,4136,2187,9088909410,0
T367,21-10-2022,5865,60000,9088909411,0
T368,21-10-2022,3863,337.34,9088909412,0
T369,21-10-2022,5474,4592,9088909413,0
T370,21-10-2022,4900,28,9088909414,0
T371,21-10-2022,4199,100,9088909415,0
T372,21-10-2022,3730,103,9088909416,0
T373,21-10-2022,1884,3000,9088909417,0
T374,21-10-2022,2758,1048,9088909418,0
T375,21-10-2022,5969,708,9088909419,0
T376,21-10-2022,4950,990,9088909420,0
T377,21-10-2022,407,219,9088909421,1
T378,21-10-2022,6268,2300,9088909422,0
T379,21-10-2022,1465,2000,9088909423,0
T380,21-10-2022,5461,350,9088909424,0
T381,21-10-2022,1924,51,9088909425,0
T382,21-10-2022,1258,200,9088909426,0
T383,21-10-2022,2399,230,9088909427,0
T384,21-10-2022,1548,563.5,9088909428,0
T385,21-10-2022,1874,0,9088909429,1
T386,21-10-2022,3586,510,9088909430,0
T387,21-10-2022,4533,644,9088909431,0
T388,21-10-2022,2287,388,9088909432,0
T389,21-10-2022,6969,13259,9088909433,0
T390,21-10-2022,3395,210,9088909434,0
T391,21-10-2022,185,4570,9088909435,1
T392,21-10-2022,6209,237,9088909436,0
T393,21-10-2022,223,240,9088909437,1
T394,21-10-2022,6101,300,9088909438,0
T395,21-10-2022,1200,519,9088909439,0
T396,21-10-2022,1548,1499,9088909440,0
T397,21-10-2022,3043,260,9088909441,0
T398,21-10-2022,3322,594.56,9088909442,0
T399,21-10-2022,3801,100,9088909443,0
T400,21-10-2022,1531,683,9088909444,0
T401,21-10-2022,119,1221,9088909445,1
T402,21-10-2022,6396,395,9088909446,0
T403,21-10-2022,3295,506,9088909447,0
T404,21-10-2022,3430,650,9088909448,0
T405,21-10-2022,3299,148,9088909449,0
T406,21-10-2022,3367,1354,9088909450,0
T407,21-10-2022,3289,80,9088909451,0
T408,21-10-2022,1947,397,9088909452,0
T409,21-10-2022,5397,50,9088909453,0
T410,21-10-2022,5249,171,9088909454,0
T411,21-10-2022,465,275,9088909455,1
T412,21-10-2022,2283,875,9088909456,0
T413,21-10-2022,5436,2000.19,9088909457,0
T414,21-10-2022,1919,99,9088909458,0
T415,21-10-2022,1978,452,9088909459,0
T416,21-10-2022,3535,9075,9088909460,0
T417,21-10-2022,896,200,9088909461,1
T418,21-10-2022,6481,205,9088909462,0
T419,21-10-2022,2520,490,9088909463,0
T420,21-10-2022,5625,320,9088909464,0
T421,21-10-2022,948,2696,9088909465,1
T422,21-10-2022,4145,580,9088909466,0
T423,21-10-2022,2488,261,9088909467,0
T424,21-10-2022,6312,466,9088909468,0
T425,21-10-2022,4021,300,9088909469,0
T426,21-10-2022,5318,197,9088909470,0
T427,21-10-2022,6759,754,9088909471,0
T428,21-10-2022,4155,2295,9088909472,0
T429,21-10-2022,2949,1456.5,9088909473,0
T430,21-10-2022,2826,402,9088909474,0
T431,21-10-2022,3557,397,9088909475,0
T432,21-10-2022,6058,100,9088909476,0
T433,21-10-2022,3844,240,9088909477,0
T434,21-10-2022,4058,485,9088909478,0
T435,21-10-2022,4160,520,9088909479,0
T436,21-10-2022,6945,270,9088909480,0
T437,21-10-2022,6631,435,9088909481,0
T438,21-10-2022,1318,1000,9088909482,0
T439,21-10-2022,3427,130,9088909483,0
T440,21-10-2022,5179,515,9088909484,0
T441,21-10-2022,1926,100,9088909485,0
T442,21-10-2022,4241,1845,9088909486,0
T443,21-10-2022,3399,187,9088909487,0
T444,21-10-2022,1991,10050,9088909488,0
T445,21-10-2022,4753,708.05,9088909489,0
T446,21-10-2022,549,100,9088909490,1
T447,21-10-2022,2569,815,9088909491,0
T448,21-10-2022,6968,1742,9088909492,0
T449,21-10-2022,2464,450,9088909493,0
T450,21-10-2022,972,98,9088909494,1
T451,21-10-2022,1000,88.93,9088909495,1
T452,21-10-2022,475,240,9088909496,1
T453,21-10-2022,5023,1156,9088909497,0
T454,21-10-2022,3193,827.5,9088909498,0
T455,21-10-2022,3139,50,9088909499,0
T456,21-10-2022,6509,269,9088909500,0
T457,21-10-2022,1796,200,9088909501,0
T458,21-10-2022,3575,323,9088909502,0
T459,21-10-2022,42,150,9088909503,1
T460,21-10-2022,3070,1396,9088909504,0
T461,21-10-2022,3640,919,9088909505,0
T462,21-10-2022,2505,732,9088909506,0
T463,21-10-2022,6150,276,9088909507,0
T464,21-10-2022,5492,250,9088909508,0
T465,21-10-2022,5822,1590,9088909509,0
T466,21-10-2022,2478,830.37,9088909510,0
T467,21-10-2022,3072,799.01,9088909511,0
T468,21-10-2022,5423,920,9088909512,0
T469,21-10-2022,6696,850,9088909513,0
T470,21-10-2022,5617,620,9088909514,0
T471,21-10-2022,6265,187,9088909515,0
T472,21-10-2022,3578,616,9088909516,0
T473,21-10-2022,817,500,9088909517,1
T474,21-10-2022,6208,1250,9088909518,0
T475,21-10-2022,6930,162,9088909519,0
T476,21-10-2022,49,1000,9088909520,1
T477,21-10-2022,4568,147,9088909521,0
T478,21-10-2022,2864,252,9088909522,0
T479,21-10-2022,2024,259.59,9088909523,0
T480,21-10-2022,1151,790.72,9088909524,0
T481,21-10-2022,5838,110,9088909525,0
T482,21-10-2022,2814,200,9088909526,0
T483,21-10-2022,4679,568,9088909527,0
T484,21-10-2022,2331,259,9088909528,0
T485,21-10-2022,5328,192,9088909529,0
T486,21-10-2022,5242,110,9088909530,0
T487,21-10-2022,203,200,9088909531,1
T488,21-10-2022,2688,92,9088909532,0
T489,21-10-2022,4170,775,9088909533,0
T490,21-10-2022,3957,1047,9088909534,0
T491,21-10-2022,3706,19.84,9088909535,0
T492,21-10-2022,212,30,9088909536,1
T493,21-10-2022,3765,10000,9088909537,0
T494,21-10-2022,5800,75,9088909538,0
T495,21-10-2022,2841,5000,9088909539,0
T496,21-10-2022,1863,250,9088909540,0
T497,21-10-2022,1265,184,9088909541,0
T498,21-10-2022,5013,200,9088909542,0
T499,21-10-2022,6403,459,9088909543,0
T500,21-10-2022,6616,500,9088909544,0
T501,21-10-2022,3549,2248,9088909545,0
T502,21-10-2022,4911,655,9088909546,0
T503,21-10-2022,3259,120,9088909547,0
T504,21-10-2022,2483,1045,9088909548,0
T505,21-10-2022,6318,25,9088909549,0
T506,21-10-2022,2350,1990,9088909550,0
T507,21-10-2022,6246,526,9088909551,0
T508,21-10-2022,397,240,9088909552,1
T509,21-10-2022,182,730,9088909553,1
T510,21-10-2022,2262,276,9088909554,0
T511,21-10-2022,978,1500,9088909555,1
T512,21-10-2022,5303,13008,9088909556,0
T513,21-10-2022,5860,287.28,9088909557,0
T514,21-10-2022,5940,845,9088909558,0
T515,21-10-2022,3915,228,9088909559,0
T516,21-10-2022,3256,34,9088909560,0
T517,21-10-2022,2665,50,9088909561,0
T518,21-10-2022,4584,450,9088909562,0
T519,21-10-2022,5226,1506,9088909563,0
T520,21-10-2022,4734,140,9088909564,0
T521,21-10-2022,6961,12.87,9088909565,0
T522,21-10-2022,3690,1200,9088909566,0
T523,21-10-2022,4394,100,9088909567,0
T524,21-10-2022,1897,484,9088909568,0
T525,21-10-2022,4358,160,9088909569,0
T526,21-10-2022,692,1088,9088909570,1
T527,21-10-2022,6164,70,9088909571,0
T528,21-10-2022,5656,1884,9088909572,0
T529,21-10-2022,3723,3150,9088909573,0
T530,21-10-2022,1590,1795,9088909574,0
T531,21-10-2022,5121,9960,9088909575,0
T532,21-10-2022,6213,1610,9088909576,0
T533,21-10-2022,375,780,9088909577,1
T534,21-10-2022,1429,261,9088909578,0
T535,21-10-2022,3472,200,9088909579,0
T536,21-10-2022,617,15,9088909580,1
T537,21-10-2022,6453,210,9088909581,0
T538,21-10-2022,2118,500,9088909582,0
T539,21-10-2022,6032,512.99,9088909583,0
T540,21-10-2022,2916,1792,9088909584,0
T541,21-10-2022,5761,130,9088909585,0
T542,21-10-2022,746,2031.51,9088909586,1
T543,21-10-2022,6484,258,9088909587,0
T544,21-10-2022,3821,333,9088909588,0
T545,21-10-2022,4857,170,9088909589,0
T546,21-10-2022,3531,180,9088909590,0
T547,21-10-2022,5492,380,9088909591,0
T548,21-10-2022,3525,1316,9088909592,0
T549,21-10-2022,6319,2268,9088909593,0
T550,21-10-2022,242,1355,9088909594,1
T551,21-10-2022,2643,359,9088909595,0
T552,21-10-2022,38,30,9088909596,1
T553,21-10-2022,1091,298,9088909597,0
T554,21-10-2022,415,17000,9088909598,1
T555,21-10-2022,2787,23,9088909599,0
T556,21-10-2022,3219,1217,9088909600,0
T557,21-10-2022,4942,394,9088909601,0
T558,21-10-2022,1078,50000,9088909602,0
T559,21-10-2022,1369,380,9088909603,0
T560,21-10-2022,1626,10,9088909604,0
T561,21-10-2022,5840,7200,9088909605,0
T562,21-10-2022,5246,849,9088909606,0
T563,21-10-2022,6052,197,9088909607,0
T564,21-10-2022,33,127,9088909608,1
T565,21-10-2022,4493,2500.6,9088909609,0
T566,21-10-2022,2626,160,9088909610,0
T567,21-10-2022,3723,660,9088909611,0
T568,21-10-2022,6823,308.15,9088909612,0
T569,21-10-2022,5749,20,9088909613,0
T570,21-10-2022,975,285,9088909614,1
T571,21-10-2022,439,1475,9088909615,1
T572,21-10-2022,1506,1364.2,9088909616,0
T573,21-10-2022,82,1622,9088909617,1
T574,21-10-2022,5978,2365,9088909618,0
T575,21-10-2022,4156,147,9088909619,0
T576,21-10-2022,2298,362,9088909620,0
T577,21-10-2022,4613,50,9088909621,0
T578,21-10-2022,2695,349,9088909622,0
T579,21-10-2022,5114,6199,9088909623,0
T580,21-10-2022,6554,603,9088909624,0
T581,21-10-2022,2734,750,9088909625,0
T582,21-10-2022,5307,1708,9088909626,0
T583,21-10-2022,5295,790,9088909627,0
T584,21-10-2022,5080,239.8,9088909628,0
T585,21-10-2022,6546,1450,9088909629,0
T586,21-10-2022,2673,253,9088909630,0
T587,21-10-2022,6395,1000,9088909631,0
T588,21-10-2022,24,1500,9088909632,1
T589,21-10-2022,4798,300,9088909633,0
T590,21-10-2022,3931,100,9088909634,0
T591,21-10-2022,3731,460,9088909635,0
T592,21-10-2022,5236,20,9088909636,0
T593,21-10-2022,2130,25,9088909637,0
T594,21-10-2022,6987,3600,9088909638,0
T595,21-10-2022,3033,1225,9088909639,0
T596,21-10-2022,3473,100,9088909640,0
T597,21-10-2022,1505,22,9088909641,0
T598,21-10-2022,4718,5555,9088909642,0
T599,21-10-2022,581,50,9088909643,1
T600,21-10-2022,5244,2000,9088909644,0
T601,21-10-2022,5241,100,9088909645,0
T602,21-10-2022,2332,540,9088909646,0
T603,21-10-2022,1675,26,9088909647,0
T604,21-10-2022,4177,121.67,9088909648,0
T605,21-10-2022,279,126.07,9088909649,1
T606,21-10-2022,1378,250,9088909650,0
T607,21-10-2022,1223,143,9088909651,0
T608,21-10-2022,2218,186,9088909652,0
T609,21-10-2022,1906,485,9088909653,0
T610,21-10-2022,5794,600,9088909654,0
T611,21-10-2022,339,350.31,9088909655,1
T612,21-10-2022,3755,60,9088909656,0
T613,21-10-2022,6575,1695,9088909657,0
T614,21-10-2022,2316,108,9088909658,0
T615,21-10-2022,1332,340,9088909659,0
T616,21-10-2022,2819,606.9,9088909660,0
T617,21-10-2022,1438,100,9088909661,0
T618,21-10-2022,4748,202,9088909662,0
T619,21-10-2022,3040,500,9088909663,0
T620,21-10-2022,2435,2345,9088909664,0
T621,21-10-2022,1205,699,9088909665,0
T622,21-10-2022,6886,500,9088909666,0
